"channel_id","date","time","utc_time","along_channel_distance","CoordX","CoordY","longitude","latitude","water_surface_elevation_NAVD88","water_surface_elevation_WGS84","water_surface_elevation_uncertainty"
"WLO","2015-05-08","11:15:10",40510,29250,650541.4,3263335.11,-91.4471096,29.4904988,0.46,-24.631,0.074
"WLO","2015-05-08","11:15:10",40510,29300,650527.99,3263286.94,-91.4472545,29.4900658,0.458,-24.633,0.074
"WLO","2015-05-08","11:15:10",40510,29350,650514.57,3263238.77,-91.4473995,29.4896329,0.455,-24.634,0.074
"WLO","2015-05-08","11:15:10",40510,29400,650501.16,3263190.61,-91.4475444,29.4892,0.453,-24.636,0.074
"WLO","2015-05-08","11:15:10",40510,29450,650487.74,3263142.44,-91.4476894,29.488767,0.451,-24.637,0.074
"WLO","2015-05-08","11:15:10",40510,29500,650474.33,3263094.27,-91.4478344,29.488334,0.448,-24.639,0.074
"WLO","2015-05-08","11:15:10",40510,29550,650460.91,3263046.11,-91.4479794,29.4879011,0.446,-24.641,0.074
"WLO","2015-05-08","11:15:10",40510,29600,650447.5,3262997.94,-91.4481243,29.4874682,0.443,-24.642,0.074
"WLO","2015-05-08","11:15:10",40510,29650,650434.08,3262949.77,-91.4482693,29.4870352,0.441,-24.644,0.074
"WLO","2015-05-08","11:15:10",40510,29700,650420.67,3262901.61,-91.4484142,29.4866023,0.439,-24.645,0.074
"WLO","2015-05-08","11:15:10",40510,29750,650407.25,3262853.44,-91.4485592,29.4861693,0.436,-24.647,0.074
"WLO","2015-05-08","11:15:10",40510,29800,650393.84,3262805.27,-91.4487041,29.4857364,0.434,-24.648,0.074
"WLO","2015-05-08","11:15:10",40510,29850,650380.42,3262757.11,-91.4488491,29.4853035,0.432,-24.649,0.074
"WLO","2015-05-08","11:15:10",40510,29900,650367,3262708.94,-91.4489941,29.4848705,0.43,-24.651,0.074
"WLO","2015-05-08","11:15:10",40510,29950,650353.59,3262660.77,-91.449139,29.4844375,0.427,-24.652,0.074
"WLO","2015-05-08","11:15:10",40510,30000,650340.17,3262612.61,-91.449284,29.4840046,0.425,-24.654,0.074
"WLO","2015-05-08","11:15:10",40510,30050,650326.76,3262564.44,-91.4494289,29.4835717,0.423,-24.655,0.074
"WLO","2015-05-08","11:15:10",40510,30100,650313.34,3262516.27,-91.4495739,29.4831387,0.421,-24.657,0.074
